Track Name,Artists,Spotify URL
No One Noticed,The Marías,https://open.spotify.com/track/3siwsiaEoU4Kuuc9WKMUy5
Sailor Song,Gigi Perez,https://open.spotify.com/track/2262bWmqomIaJXwCRHr13j
"Good Luck, Babe!",Chappell Roan,https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu
WILDFLOWER,Billie Eilish,https://open.spotify.com/track/3QaPy1KgI7nu9FJEQUgn6h
BIRDS OF A FEATHER,Billie Eilish,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB
Die With A Smile,"Lady Gaga, Bruno Mars",https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",https://open.spotify.com/track/7CyPwkp0oE8Ro9Dd5CUDjW
