Track Name,Artists,Spotify URL
Bênçãos Que Não Têm Fim (Counting My Blessings),Isadora Pompeo,https://open.spotify.com/track/7dKqPh21HpsysZvRWyNeM1
Deus Proverá,Gabriela Gomes,https://open.spotify.com/track/1XGPIdV19Qp3p7aBGhP6EQ
A Casa É Sua,Casa Worship,https://open.spotify.com/track/1OGtusmbhssNPdnDxqol0P
Santo Pra Sempre - Ao Vivo,Gabriel Guedes de Almeida,https://open.spotify.com/track/69sdOLKjgnwdA2smmct2a9
Bondade de Deus,Isaias Saad,https://open.spotify.com/track/4VvsTSxSSAu8IRBpt3iDMR
Eu Te Vejo Em Tudo,Casa Worship,https://open.spotify.com/track/7DWmnmZJicTPIxoZb0m9Go
Ovelhinha (Ao Vivo),Isadora Pompeo,https://open.spotify.com/track/2lKiWWoeqOHhXwyZT8flw6
