Track Name,Artists,Spotify URL
Angel,"Massive Attack, Horace Andy",https://open.spotify.com/track/7uv632EkfwYhXoqf8rhYrg
"Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)","Sevdaliza, Villano Antillano, Tokischa",https://open.spotify.com/track/5oYVxFt2k4SkVp6wzVsFWN
Glory Box,Portishead,https://open.spotify.com/track/3Ty7OTBNSigGEpeW2PqcsC
You Know You Like It,"DJ Snake, AlunaGeorge",https://open.spotify.com/track/57kR5SniQIbsbVoIjjOUDa
Alibi (with Pabllo Vittar & Yseult),"Sevdaliza, Pabllo Vittar, Yseult",https://open.spotify.com/track/5496lks6V3fh1mZAB6IAap
Middle,"DJ Snake, Bipolar Sunshine",https://open.spotify.com/track/0g5EKLgdKvNlln7TNqBByK
Let Me Love You,"DJ Snake, Justin Bieber",https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
