Track Name,Artists,Spotify URL
Shu! (feat. Chley),"Diamond Platnumz, Chley",https://open.spotify.com/track/442DDArcRLNRxEeF75jRVk
Shekini,P-Square,https://open.spotify.com/track/5dsfpeNKsamByCy05UqhHp
OLOLUFE MI,"Jux, Diamond Platnumz",https://open.spotify.com/track/74tI5k2JSmmmoD6RjdTDpV
Komasava (Comment Ça Va),"Diamond Platnumz, Khalil Harrison, Chley",https://open.spotify.com/track/5mjxSIPHAMNk40q0nON5Cb
Collabo,"P-Square, Don Jazzy",https://open.spotify.com/track/0lYs23NNkgF1bhfWmjojO3
No One Like You - Deluxe,P-Square,https://open.spotify.com/track/5l2sIiSjXzn6cOLZW1k3r4
Personally - Bonus,P-Square,https://open.spotify.com/track/7hwernbwO2hGtkHinoQpJV
